word,type,cefr,definition,example,Synonyms,Antonyms,Rhymes,Related
organization,noun,a2,"a group of people who form a business, club, etc. together in order to achieve a particular aim",He's the president of a large international organization.,"arrangement, formation, organisation, establishment, administration",,"communication, information, operation, education, implication","standardization, iso, organizational, scout, promoting"
organize,verb,a2,to make all the arrangements for something to happen or be provided,He helped to organize various events.,"form, coordinate, prepare, organise, devise",disorganize,"arise, analyze, rise, advise, compromise","socioeconomic, statewide, comparison, lowest, characteristics"
organized,adjective,b1,involving large numbers of people who work together to do something in a way that has been carefully planned,an organized body of workers,"methodical, union, designed, reorganized, corporate","disorganized, unorganized","apprised, compromised, surprised, disenfranchised, comprised","mustered, unorganized, crime, confederation, militia"
organizer,noun,b1,a person who makes the arrangements for something,the organizers of the festival,"arranger, host, convening, convener, convenor",,"advisor, supervisor, adviser, miser, geyser","organizing, activist, organize, promoter, suffrage"
origin,noun,b2,the point from which something starts; the cause of something,"origin of something, the origins of life on earth","inception, genesis, beginning, origination, extraction",,"origen, orogen, florigen, forage in, porridge in","ancestry, traced, uncertain, obscure, surname"
original,adjective,a2,"existing at the beginning of a particular period, process or activity",The room still has many of its original features.,"primary, first, originative, novel, newfangled",unoriginal,"aboriginal, pigeon hill","soundtrack, screenplay, lineup, version, broadway"
original,noun,b1,"a document, work of art, etc. produced for the first time, from which copies are later made",This painting is a copy; the original is in Madrid.,"primary, first, originative, novel, newfangled",unoriginal,"aboriginal, pigeon hill","soundtrack, screenplay, lineup, version, broadway"
originally,adverb,b1,"used to describe the situation that existed at the beginning of a particular period or activity, especially before something was changed",The school was originally very small.,"primitively, earlier, to begin with, in the beginning, in the first place",,"original e, original he","archived, accessed, slated, licence, conceived"
other,adjective,a1,used to refer to people or things that are additional or different to people or things that have been mentioned or are known about,Mr Harris and Mrs Bate and three other teachers were there.,"else, different, new, past, former",same,"rather, another, mother, brother, smother",
other,pronoun,a1,used to refer to people or things that are additional or different to people or things that have been mentioned or are known about,Mr Harris and Mrs Bate and three other teachers were there.,"else, different, new, past, former",same,"rather, another, mother, brother, smother",
otherwise,adverb,b2,used to state what the result would be if something did not happen or if the situation were different,"My parents lent me the money. Otherwise, I couldn't have afforded the trip.","differently, other, others, else, however",,"arise, analyze, rise, advise, compromise","unavailable, specified, indicated, identical, noted"
ought,modal verb,b1,used to say what is the right thing to do,They ought to apologize.,"should, must, need, had better, would",,"lot, shot, trot, spot, thought","behave, reasonably, resolved, reasonable, moral"
our,determiner,a1,belonging to us; connected with us,our daughter/dog/house,"nous, heavenly, well, nos, mutual",,"power, flower, hour, empower, tower","lourdes, rosary, ourselves, lady, carmel"
ours,pronoun,b1,the one or ones that belong to us,"Their house is very similar to ours, but ours is bigger.","bear, bears, countrymen, eleven, nso",,"hours, bars, ares, mars, stars","guillotine, theirs, yours, lucille, ourselves"
ourselves,pronoun,a2,the reflexive form of we; used when you and another person or other people together cause and are affected by an action,We shouldn't blame ourselves for what happened.,"alone, creating, even, herself, himself",,"themselves, elves, shelves, pelves, selves","our, think, humanity, really, know"
out,adverb,a1,away from the inside of a place or thing,She ran out into the corridor.,"away, outer, exterior, retired, extinct",in,"about, route, doubt, tout, rout",
out,preposition,a1,away from the inside of a place or thing,She ran out into the corridor.,"away, outer, exterior, retired, extinct",in,"about, route, doubt, tout, rout",
outcome,noun,b2,the result or effect of an action or event,The likely outcome is a compromise.,"upshot, effect, consequence, result, issue",,"become, come, from, overcome, gum","outcomes, probability, referendum, doubt, variable"
outdoor,adjective,b1,"used, happening or located outside rather than in a building",outdoor pursuits/recreation/activities,"outdoorsy, out-of-door, alfresco, open-air, outside",,"for, war, door, store, score","amphitheater, indoor, bowls, courts, atp"
outdoors,adverb,b1,"outside, rather than in a building",The rain prevented them from eating outdoors.,"open air, out-of-doors, alfresco, outside, open","inside, indoors","corps, chores, drawers, yours, wars","indoors, passerine, outdoor, dull, hurdles"
outer,adjective,b2,on the outside of something,the outer layers of the skin,"outward, outermost, outside, out, outmost",,"router, pouter, doubter, scouter, souter","columella, hebrides, lip, inner, folder"
outline,noun,b2,a description of the main facts or points involved in something,"outline of something, This is a brief outline of the events.","delineate, limn, sketch, draw up, draw",,"line, design, sign, pine, fein","topical, overview, landlocked, guide, sovereign"
outline,verb,b2,to give a description of the main facts or points involved in something,"outline something, He outlined his plan to leave St. Petersburg. ","delineate, limn, sketch, draw up, draw",,"line, design, sign, pine, fein","topical, overview, landlocked, guide, sovereign"
outside,adjective,a2,"of, on or facing the outer side",The outside walls are damp.,"exterior, outer, remote, away, out-of-door","within, inside, interior, indoors","backslide, abide, side, provide, hide","linebacker, walls, inside, limits, switzerland"
outside,adverb,a1,"not in a room, building or container but on or to the outside of it",I'm seeing a patient—please wait outside.,"exterior, outer, remote, away, out-of-door","within, inside, interior, indoors","backslide, abide, side, provide, hide","linebacker, walls, inside, limits, switzerland"
outside,noun,a2,the outer side or surface of something,The outside of the house needs painting.,"exterior, outer, remote, away, out-of-door","within, inside, interior, indoors","backslide, abide, side, provide, hide","linebacker, walls, inside, limits, switzerland"
outside,preposition,a2,on or to a place on the outside of something,You can park your car outside our house.,"exterior, outer, remote, away, out-of-door","within, inside, interior, indoors","backslide, abide, side, provide, hide","linebacker, walls, inside, limits, switzerland"
oven,noun,a2,"the part of a cooker that is like a box with a door on the front, in which food is cooked or heated",Take the cake out of the oven.,"cooking, baked, baking, baker, cooker",,"coven, sloven, doven, love-in, shoven","bake, baking, toaster, baked, roasting"
over,adverb,a1,"across a street, an open space, etc.",I stopped and crossed over.,"ended, finished, complete, terminated, across",,"turnover, clover, moreover, crossover, rover",
over,preposition,a1,resting on the surface of somebody/something and partly or completely covering them/it,She put a blanket over the sleeping child.,"ended, finished, complete, terminated, across",,"turnover, clover, moreover, crossover, rover",
overall,adjective,b2,including all the things or people that are involved in a particular situation; general,"There will be winners in each of three age groups, and one overall winner.","general, total, gross, boilersuit, boilers suit",,"all, ball, call, fall, protocol","draught, draft, pick, nhl, mls"
overall,adverb,b2,including everything or everyone; in total,The company will invest $1.6m overall in new equipment.,"general, total, gross, boilersuit, boilers suit",,"all, ball, call, fall, protocol","draught, draft, pick, nhl, mls"
owe,verb,b2,to have to pay somebody for something that you have already received or return money that you have borrowed,"owe somebody something, She still owes her father £3 000.","payable, repayable, pay, have, deserve",,"go, blow, show, know, forego","gratitude, fiduciary, allegiance, debt, obedience"
